,BROKERTITLE,TYPE,PRICE,BEDS,BATH,PROPERTYSQFT,FORMATTED_ADDRESS,STATE,ZIP,COUNTY,CITY,STR_NAME,LATITUDE,LONGITUDE
0,Douglas Elliman  -111 Fifth Ave,Condo for sale,315000,2,2,1400,"Regis Residence, 2 E 55th St #803, New York, NY 10022, USA",New York,10022,New York County,New York,55th St,40.761255,-73.9744834
1,Serhant,Condo for sale,195000000,7,10,17545,"217 W 57th St, New York, NY 10019, USA",New York,10019,New York County,New York,57th St,40.7663935,-73.9809909
2,Sowae Corp,House for sale,260000,4,2,2015,"620 Sinclair Ave, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Sinclair Ave,40.5418051,-74.1961086
3,COMPASS,Condo for sale,69000,3,1,445,"2 E 55th St, New York, NY 10022, USA",New York,10022,New York County,New York,55th St,40.7613979,-73.9746128
4,Sotheby's International Realty - East Side Manhattan Brokerage,Townhouse for sale,55000000,7,2,14175,"5 E 64th St, New York, NY 10065, USA",New York,10065,New York County,New York,64th St,40.7672235,-73.9698561
5,Sowae Corp,House for sale,690000,5,2,4004,"584 Park Pl, Brooklyn, NY 11238, USA",New York,11238,Kings County,Brooklyn,Park Pl,40.6743632,-73.9587248
6,Douglas Elliman - 575 Madison Ave,Condo for sale,899500,2,2,2184,"157 W 126th St #1b, New York, NY 10027, USA",New York,10027,New York County,New York,126th St,40.809448,-73.946777
7,Connie Profaci Realty,House for sale,16800000,8,16,33000,"177 Benedict Rd, Staten Island, NY 10304, USA",New York,10304,Richmond County,Staten Island,Benedict Rd,40.5950017,-74.1064235
8,Pantiga Group Inc.,Co-op for sale,265000,1,1,750,"Parking lot, 875 Morrison Ave #3m, Bronx, NY 10473, USA",New York,10473,Bronx County,Bronx,Morrison Ave,40.8215857,-73.8740892
9,CENTURY 21 MK Realty,Co-op for sale,440000,2,1,978,"1350 Ocean Pkwy #5g, Brooklyn, NY 11230, USA",New York,11230,Kings County,Brooklyn,Ocean Pkwy,40.6157378,-73.9696944
10,Engel & Volkers Americas,Co-op for sale,375000,2,1,850,"800 Grand Concourse #2j, Bronx, NY 10451, USA",New York,10451,Bronx County,Bronx,Grand Concourse,40.8248699,-73.9229829
11,Re/Max Edge,Townhouse for sale,689000,3,2,1162,"456 Van Name Ave, Staten Island, NY 10303, USA",New York,10303,Richmond County,Staten Island,Van Ave,40.6249962,-74.1553058
12,COMPASS,Co-op for sale,259000,3,1,2184,"34-41 85th St #1b, Flushing, NY 11372, USA",New York,11372,Queens County,Jackson Heights,85th St,40.7531191,-73.8818757
13,Jamie & Connie Real Estate Grp,Co-op for sale,430000,2,2,2184,"91-15 Lamont Ave #6d, Elmhurst, NY 11373, USA",New York,11373,Queens County,Elmhurst,Lamont Ave,40.7438639,-73.8745722
14,Corcoran Chelsea/Flatiron,Co-op for sale,895000,3,1,2184,"61 Jane St #6n, New York, NY 10014, USA",New York,10014,New York County,New York,Jane St,40.7382981,-74.0058899
15,Awaye Realty,Condo for sale,549000,2,2,1000,"4654 Amboy Rd #2b, Staten Island, NY 10312, USA",New York,10312,Richmond County,Staten Island,Amboy Rd,40.5406209,-74.1671632
16,Realty Executives Today,Townhouse for sale,975000,3,2,1734,"28-31 Hobart St, Flushing, NY 11377, USA",New York,11377,Queens County,Woodside,Hobart St,40.7607676,-73.9056672
17,Dorsa Group Realty,Co-op for sale,199000,3,1,325,"9430 Ridge Blvd #6d, Brooklyn, NY 11209, USA",New York,11209,Kings County,Brooklyn,Ridge Blvd,40.6181029,-74.0369047
18,Coldwell Banker Realty,Co-op for sale,350000,1,1,700,"5800 Arlington Ave Apt 21s, Bronx, NY 10471, USA",New York,10471,Bronx County,Bronx,Arlington Ave,40.9073699,-73.9065578
19,Keller Williams Rlty Landmark,Condo for sale,599000,2,2,974,"92-29 Queens Blvd #3h, Rego Park, NY 11374, USA",New York,11374,Queens County,Rego Park,Queens Blvd,40.7324713,-73.8670804
20,Radiant Estates LLC,House for sale,639999,3,2,1260,"27 Clove Way, Staten Island, NY 10301, USA",New York,10301,Richmond County,Staten Island,Clove Way,40.6207403,-74.1114362
21,"Apaus, Inc",Condo for sale,1300000,2,2,1244,"10724 71st Rd #9f, Forest Hills, NY 11375, USA",New York,11375,Queens County,Forest Hills,71st Rd,40.7202429,-73.8430513
22,Keller Williams Ny Realty,Multi-family home for sale,1100000,6,3,2837,"1038 Throgs Neck Expy, Bronx, NY 10465, USA",New York,10465,Bronx County,Bronx,Throgs Expy,40.8343936,-73.8221101
